UUID,Void/Retire,Name,Description,Parent
0561303b-9868-4a1d-933d-fe52ce1b8c9f,,Wellbody,Wellbody,
b6733150-7426-11e5-a837-0800200c9a66,,Wellbody Clinic,Wellbody Clinic,Wellbody
dac348b7-2ece-47ad-b80a-140fc6788706,,Wellbody MCH,Wellbody MCH,Wellbody
93b8750b-b986-4023-a533-6116477f7936,TRUE,Wellbody GAIN,Wellbody GAIN (nursing),Wellbody
7a17bfc6-4032-4784-98cd-59d819c03b43,,Wellbody NCD,Wellbody Non-communicate disease clinic,Wellbody
7b959d2f-11f3-4611-b2e4-7002006c5aa6,,Wellbody Mental Health,Wellbody Mental Health clinic,Wellbody
1fadef30-c980-49bc-91ab-041f5cfd3b7c,,Wellbody Laboratory,Wellbody Laboratory,Wellbody
6a7fc2e7-282c-4d25-b19c-777731928457,,Wellbody Pharmacy,Wellbody Pharmacy,Wellbody
${location.kgh.uuid},,KGH,KGH,
2bcb9215-8cd6-11eb-b7be-0242ac110002,,KGH Triage,KGH Triage,KGH
5981f962-6eec-453d-89ce-2f9ac48d096f,,KGH MCH,KGH Maternal Child Health,KGH
7b959d2f-11f3-4611-b2e4-700200625d61,,KGH NCD,KGH Non-communicate disease clinic,KGH
7b959d2f-11f3-4611-b2e4-700200629a66,,KGH Mental Health,KGH Mental Health clinic,KGH
0d3704ab-17f7-4272-aa1b-9118ae51acce,,KGH Laboratory,KGH Laboratory,KGH
8947193b-92f0-4577-a66d-43d4a64c49b7,,NCD Pharmacy,KGH NCD Pharmacy,KGH
e458694f-27c3-4a44-a8d8-c53f2ac6a88f,,OPD Pharmacy,KGH OPD Pharmacy,KGH
067c83ad-6850-11ee-ab8d-0242ac120002,,MCOE,Maternal Center of Excellence,KGH
f85feffc-fe54-4648-aa14-01ed6d30b943,,MCOE Triage,MCOE Triage,MCOE
11377a5b-6850-11ee-ab8d-0242ac120002,,Labour and Delivery,Labour and Delivery,MCOE
4d7e927d-6850-11ee-ab8d-0242ac120002,,MCCU,MCCU,MCOE
0ce2f6fb-6850-11ee-ab8d-0242ac120002,,NICU,Newborn Intensive Care Unit,MCOE
11f5c9f9-40b8-46ad-9e7e-59473ce43246,,Antenatal Ward,Antenatal Ward,MCOE
17596678-6850-11ee-ab8d-0242ac120002,,MCOE PACU,MCOE PACU,MCOE
142de844-6850-11ee-ab8d-0242ac120002,,MCOE Pre-Op,MCOE Pre-Op,MCOE
28660b7f-3450-4b86-b840-9670ec68235f,,Quiet Ward,Quiet Ward,MCOE
ff0d5e73-3fe0-437f-90ba-7d605ac03dc0,,Postnatal Ward,Postnatal Ward,MCOE
550e8400-e29b-41d4-a716-446655440000,,MCOE Inpatient Pharmacy,MCOE Inpatient Pharmacy,MCOE
84b9b680-786c-4388-9e7c-805614c13b5a,,Maternity Pharmacy,Maternity Pharmacy,MCOE
b4d5b9c5-e5c8-490a-a5b4-7055c0e8a1f6,,Pediatric Pharmacy,Pediatric Pharmacy,MCOE
81080213-d1f9-11f0-9d46-169316be6a48,,Kangaroo Care,Kangaroo Care,MCOE
989a9b23-d1f9-11f0-9d46-169316be6a48,,Mothers Dorm,Mother's Dorm,MCOE
a39ec469-d1f9-11f0-9d46-169316be6a48,,MCOE Post-Op,MCOE Post-Op,MCOE
adde966c-d1f9-11f0-9d46-169316be6a48,,Staff Ward,Staff Ward,MCOE
07aa9943-d1fa-11f0-9d46-169316be6a48,,MCOE Inpatient Registration,MCOE Inpatient Registration,MCOE
